Ticker,Sector
A, Health Care
AA, Materials
AAL, Industrials
AAON, Industrials
AAP, Consumer Discretionary
AAPL, Information Technology
ABBV, Health Care
ABNB, Consumer Discretionary
ABT, Health Care
ACGL, Financials
ACHC, Health Care
ACI, Consumer Staples
ACM, Industrials
ACN, Information Technology
ADBE, Information Technology
ADC, Real Estate
ADI, Information Technology
ADM, Consumer Staples
ADP, Industrials
ADSK, Information Technology
ADT, Consumer Discretionary
AEE, Utilities
AEP, Utilities
AES, Utilities
AFG, Financials
AFL, Financials
AFRM, Financials
AGCO, Industrials
AGNC, Financials
AGO, Financials
AIG, Financials
AIZ, Financials
AJG, Financials
AKAM, Information Technology
AL, Industrials
ALAB, Information Technology
ALB, Materials
ALGM, Information Technology
ALGN, Health Care
ALK, Industrials
ALL, Financials
ALLE, Industrials
ALLY, Financials
ALNY, Health Care
ALSN, Industrials
AM, Energy
AMAT, Information Technology
AMCR, Materials
AMD, Information Technology
AME, Industrials
AMED, Health Care
AMG, Financials
AMGN, Health Care
AMH, Real Estate
AMKR, Information Technology
AMP, Financials
AMT, Real Estate
AMTM, Industrials
AMZN, Consumer Discretionary
AN, Consumer Discretionary
ANET, Information Technology
ANGI, Communication
ANSS, Information Technology
AON, Financials
AOS, Industrials
APA, Energy
APD, Materials
APG, Industrials
APH, Information Technology
APLS, Health Care
APO, Financials
APP, Information Technology
APPF, Information Technology
APTV, Consumer Discretionary
AR, Energy
ARE, Real Estate
ARES, Financials
ARMK, Consumer Discretionary
ARW, Information Technology
AS, Consumer Discretionary
ASH, Materials
ATI, Industrials
ATO, Utilities
ATR, Materials
AVB, Real Estate
AVGO, Information Technology
AVT, Information Technology
AVTR, Health Care
AVY, Materials
AWI, Industrials
AWK, Utilities
AXON, Industrials
AXP, Financials
AXS, Financials
AXTA, Materials
AYI, Industrials
AZEK, Industrials
AZO, Consumer Discretionary
AZTA, Health Care
BA, Industrials
BAC, Financials
BAH, Industrials
BALL, Materials
BAX, Health Care
BBWI, Consumer Discretionary
BBY, Consumer Discretionary
BC, Consumer Discretionary
BDX, Health Care
BEN, Financials
BEPC, Utilities
BFA, Consumer Staples
BFAM, Consumer Discretionary
BFB, Consumer Staples
BG, Consumer Staples
BHF, Financials
BIIB, Health Care
BILL, Information Technology
BIO, Health Care
BIRK, Consumer Discretionary
BJ, Consumer Staples
BK, Financials
BKNG, Consumer Discretionary
BKR, Energy
BLD, Consumer Discretionary
BLDR, Industrials
BLK, Financials
BMRN, Health Care
BMY, Health Care
BOKF, Financials
BPOP, Financials
BR, Industrials
BRBR, Consumer Staples
BRK-B, Financials
BRKR, Health Care
BRO, Financials
BROS, Consumer Discretionary
BRX, Real Estate
BSX, Health Care
BSY, Information Technology
BURL, Consumer Discretionary
BWA, Consumer Discretionary
BWXT, Industrials
BX, Financials
BXP, Real Estate
BYD, Consumer Discretionary
C, Financials
CACC, Financials
CACI, Industrials
CAG, Consumer Staples
CAH, Health Care
CAR, Industrials
CARR, Industrials
CART, Consumer Staples
CASY, Consumer Staples
CAT, Industrials
CAVA, Consumer Discretionary
CB, Financials
CBOE, Financials
CBRE, Real Estate
CBSH, Financials
CC, Materials
CCCS, Information Technology
CCI, Real Estate
CCK, Materials
CCL, Consumer Discretionary
CDNS, Information Technology
CDW, Information Technology
CE, Materials
CEG, Utilities
CELH, Consumer Staples
CERT, Health Care
CF, Materials
CFG, Financials
CFLT, Information Technology
CFR, Financials
CG, Financials
CGNX, Information Technology
CHD, Consumer Staples
CHDN, Consumer Discretionary
CHE, Health Care
CHH, Consumer Discretionary
CHRD, Energy
CHRW, Industrials
CHTR, Communication
CI, Health Care
CIEN, Information Technology
CINF, Financials
CIVI, Energy
CL, Consumer Staples
CLF, Materials
CLH, Industrials
CLVT, Industrials
CLX, Consumer Staples
CMA, Financials
CMCSA, Communication
CME, Financials
CMG, Consumer Discretionary
CMI, Industrials
CMS, Utilities
CNA, Financials
CNC, Health Care
CNH, Industrials
CNM, Industrials
CNP, Utilities
CNXC, Industrials
COF, Financials
COHR, Information Technology
COIN, Financials
COKE, Consumer Staples
COLB, Financials
COLD, Real Estate
COLM, Consumer Discretionary
COO, Health Care
COP, Energy
COR, Health Care
COST, Consumer Staples
COTY, Consumer Staples
CPAY, Financials
CPB, Consumer Staples
CPNG, Consumer Discretionary
CPRI, Consumer Discretionary
CPRT, Industrials
CPT, Real Estate
CR, Industrials
CRH, Materials
CRI, Consumer Discretionary
CRL, Health Care
CRM, Information Technology
CROX, Consumer Discretionary
CRUS, Information Technology
CRWD, Information Technology
CSCO, Information Technology
CSGP, Real Estate
CSL, Industrials
CSX, Industrials
CTAS, Industrials
CTRA, Energy
CTSH, Information Technology
CTVA, Materials
CUBE, Real Estate
CUZ, Real Estate
CVNA, Consumer Discretionary
CVS, Health Care
CVX, Energy
CW, Industrials
CWEN, Utilities
CWENA, Utilities
CXT, Information Technology
CZR, Consumer Discretionary
D, Utilities
DAL, Industrials
DAR, Consumer Staples
DASH, Consumer Discretionary
DAY, Industrials
DBX, Information Technology
DCI, Industrials
DD, Materials
DDOG, Information Technology
DDS, Consumer Discretionary
DE, Industrials
DECK, Consumer Discretionary
DELL, Information Technology
DG, Consumer Staples
DGX, Health Care
DHI, Consumer Discretionary
DHR, Health Care
DINO, Energy
DIS, Communication
DJT, Communication
DKNG, Consumer Discretionary
DKS, Consumer Discretionary
DLB, Information Technology
DLR, Real Estate
DLTR, Consumer Staples
DNB, Industrials
DOC, Real Estate
DOCS, Health Care
DOCU, Information Technology
DOV, Industrials
DOW, Materials
DOX, Information Technology
DPZ, Consumer Discretionary
DRI, Consumer Discretionary
DT, Information Technology
DTE, Utilities
DTM, Energy
DUK, Utilities
DUOL, Consumer Discretionary
DV, Communication
DVA, Health Care
DVN, Energy
DXC, Information Technology
DXCM, Health Care
EA, Communication
EBAY, Consumer Discretionary
ECG, Industrials
ECL, Materials
ED, Utilities
EEFT, Financials
EFX, Industrials
EG, Financials
EGP, Real Estate
EHC, Health Care
EIX, Utilities
EL, Consumer Staples
ELAN, Health Care
ELF, Consumer Staples
ELS, Real Estate
ELV, Health Care
EME, Industrials
EMN, Materials
EMR, Industrials
ENOV, Health Care
ENPH, Information Technology
ENTG, Information Technology
EOG, Energy
EPAM, Information Technology
EPR, Real Estate
EQH, Financials
EQIX, Real Estate
EQR, Real Estate
EQT, Energy
ES, Utilities
ESAB, Industrials
ESI, Materials
ESS, Real Estate
ESTC, Information Technology
ETN, Industrials
ETR, Utilities
ETSY, Consumer Discretionary
EVR, Financials
EVRG, Utilities
EW, Health Care
EWBC, Financials
EXAS, Health Care
EXC, Utilities
EXE, Energy
EXEL, Health Care
EXP, Materials
EXPD, Industrials
EXPE, Consumer Discretionary
EXR, Real Estate
F, Consumer Discretionary
FAF, Financials
FANG, Energy
FAST, Industrials
FBIN, Industrials
FCN, Industrials
FCNCA, Financials
FCX, Materials
FDS, Financials
FDX, Industrials
FE, Utilities
FERG, Industrials
FFIV, Information Technology
FHB, Financials
FHN, Financials
FI, Financials
FICO, Information Technology
FIS, Financials
FITB, Financials
FIVE, Consumer Discretionary
FIVN, Information Technology
FIX, Industrials
FLO, Consumer Staples
FLS, Industrials
FMC, Materials
FNB, Financials
FND, Consumer Discretionary
FNF, Financials
FOUR, Financials
FOX, Communication
FOXA, Communication
FR, Real Estate
FRPT, Consumer Staples
FRT, Real Estate
FSLR, Information Technology
FTI, Energy
FTNT, Information Technology
FTRE, Health Care
FTV, Industrials
FWONA, Communication
FWONK, Communication
FYBR, Communication
G, Industrials
GAP, Consumer Discretionary
GD, Industrials
GDDY, Information Technology
GE, Industrials
GEHC, Health Care
GEN, Information Technology
GEV, Industrials
GFS, Information Technology
GGG, Industrials
GILD, Health Care
GIS, Consumer Staples
GL, Financials
GLOB, Information Technology
GLPI, Real Estate
GLW, Information Technology
GM, Consumer Discretionary
GME, Consumer Discretionary
GMED, Health Care
GNRC, Industrials
GNTX, Consumer Discretionary
GO, Consumer Staples
GOOG, Communication
GOOGL, Communication
GPC, Consumer Discretionary
GPK, Materials
GPN, Financials
GRAL, Health Care
GRMN, Consumer Discretionary
GS, Financials
GTES, Industrials
GTLB, Information Technology
GTM, Communication
GWRE, Information Technology
GWW, Industrials
GXO, Industrials
H, Consumer Discretionary
HAL, Energy
HAS, Consumer Discretionary
HAYW, Industrials
HBAN, Financials
HCA, Health Care
HD, Consumer Discretionary
HEI, Industrials
HEIA, Industrials
HES, Energy
HHH, Real Estate
HIG, Financials
HII, Industrials
HIW, Real Estate
HLI, Financials
HLT, Consumer Discretionary
HOG, Consumer Discretionary
HOLX, Health Care
HON, Industrials
HOOD, Financials
HPE, Information Technology
HPQ, Information Technology
HR, Real Estate
HRB, Consumer Discretionary
HRL, Consumer Staples
HSIC, Health Care
HST, Real Estate
HSY, Consumer Staples
HUBB, Industrials
HUBS, Information Technology
HUM, Health Care
HUN, Materials
HWM, Industrials
HXL, Industrials
IAC, Communication
IBKR, Financials
IBM, Information Technology
ICE, Financials
IDA, Utilities
IDXX, Health Care
IEX, Industrials
IFF, Materials
ILMN, Health Care
INCY, Health Care
INFA, Information Technology
INGM, Information Technology
INGR, Consumer Staples
INSP, Health Care
INTC, Information Technology
INTU, Information Technology
INVH, Real Estate
IONS, Health Care
IP, Materials
IPG, Communication
IPGP, Information Technology
IQV, Health Care
IR, Industrials
IRDM, Communication
IRM, Real Estate
ISRG, Health Care
IT, Information Technology
ITT, Industrials
ITW, Industrials
IVZ, Financials
J, Industrials
JAZZ, Health Care
JBHT, Industrials
JBL, Information Technology
JCI, Industrials
JEF, Financials
JHG, Financials
JKHY, Financials
JLL, Real Estate
JNJ, Health Care
JNPR, Information Technology
JPM, Financials
K, Consumer Staples
KBR, Industrials
KD, Information Technology
KDP, Consumer Staples
KEX, Industrials
KEY, Financials
KEYS, Information Technology
KHC, Consumer Staples
KIM, Real Estate
KKR, Financials
KLAC, Information Technology
KMB, Consumer Staples
KMI, Energy
KMPR, Financials
KMX, Consumer Discretionary
KNSL, Financials
KNX, Industrials
KO, Consumer Staples
KR, Consumer Staples
KRC, Real Estate
KSS, Consumer Discretionary
KVUE, Consumer Staples
L, Financials
LAD, Consumer Discretionary
LAMR, Real Estate
LAZ, Financials
LBRDA, Communication
LBRDK, Communication
LBTYA, Communication
LBTYK, Communication
LCID, Consumer Discretionary
LDOS, Industrials
LEA, Consumer Discretionary
LECO, Industrials
LEG, Consumer Discretionary
LEN, Consumer Discretionary
LENB, Consumer Discretionary
LFUS, Information Technology
LH, Health Care
LHX, Industrials
LII, Industrials
LIN, Materials
LINE, Real Estate
LITE, Information Technology
LKQ, Consumer Discretionary
LLY, Health Care
LLYVA, Communication
LLYVK, Communication
LMT, Industrials
LNC, Financials
LNG, Energy
LNT, Utilities
LNW, Consumer Discretionary
LOAR, Industrials
LOPE, Consumer Discretionary
LOW, Consumer Discretionary
LPLA, Financials
LPX, Materials
LRCX, Information Technology
LSCC, Information Technology
LSTR, Industrials
LULU, Consumer Discretionary
LUV, Industrials
LVS, Consumer Discretionary
LW, Consumer Staples
LYB, Materials
LYFT, Industrials
LYV, Communication
M, Consumer Discretionary
MA, Financials
MAA, Real Estate
MAN, Industrials
MANH, Information Technology
MAR, Consumer Discretionary
MAS, Industrials
MASI, Health Care
MAT, Consumer Discretionary
MCD, Consumer Discretionary
MCHP, Information Technology
MCK, Health Care
MCO, Financials
MDB, Information Technology
MDLZ, Consumer Staples
MDT, Health Care
MDU, Utilities
MEDP, Health Care
MET, Financials
META, Communication
MGM, Consumer Discretionary
MHK, Consumer Discretionary
MIDD, Industrials
MKC, Consumer Staples
MKL, Financials
MKSI, Information Technology
MKTX, Financials
MLM, Materials
MMC, Financials
MMM, Industrials
MNST, Consumer Staples
MO, Consumer Staples
MOH, Health Care
MORN, Financials
MOS, Materials
MP, Materials
MPC, Energy
MPW, Real Estate
MPWR, Information Technology
MRK, Health Care
MRNA, Health Care
MRP, Real Estate
MRVL, Information Technology
MS, Financials
MSA, Industrials
MSCI, Financials
MSFT, Information Technology
MSGS, Communication
MSI, Information Technology
MSM, Industrials
MSTR, Information Technology
MTB, Financials
MTCH, Communication
MTD, Health Care
MTDR, Energy
MTG, Financials
MTN, Consumer Discretionary
MTSI, Information Technology
MTZ, Industrials
MU, Information Technology
MUSA, Consumer Discretionary
NBIX, Health Care
NCLH, Consumer Discretionary
NCNO, Information Technology
NDAQ, Financials
NDSN, Industrials
NEE, Utilities
NEM, Materials
NET, Information Technology
NEU, Materials
NFE, Energy
NFG, Utilities
NFLX, Communication
NI, Utilities
NKE, Consumer Discretionary
NLY, Financials
NNN, Real Estate
NOC, Industrials
NOV, Energy
NOW, Information Technology
NRG, Utilities
NSA, Real Estate
NSC, Industrials
NTAP, Information Technology
NTNX, Information Technology
NTRA, Health Care
NTRS, Financials
NU, Financials
NUE, Materials
NVDA, Information Technology
NVR, Consumer Discretionary
NVST, Health Care
NVT, Industrials
NWL, Consumer Discretionary
NWS, Communication
NWSA, Communication
NXST, Communication
NYT, Communication
O, Real Estate
OC, Industrials
ODFL, Industrials
OGE, Utilities
OGN, Health Care
OHI, Real Estate
OKE, Energy
OKTA, Information Technology
OLED, Information Technology
OLLI, Consumer Discretionary
OLN, Materials
OMC, Communication
OMF, Financials
ON, Information Technology
ONTO, Information Technology
ORCL, Information Technology
ORI, Financials
ORLY, Consumer Discretionary
OSK, Industrials
OTIS, Industrials
OVV, Energy
OWL, Financials
OXY, Energy
OZK, Financials
PAG, Consumer Discretionary
PANW, Information Technology
PARA, Communication
PARAA, Communication
PATH, Information Technology
PAYC, Industrials
PAYX, Industrials
PB, Financials
PCAR, Industrials
PCG, Utilities
PCOR, Information Technology
PCTY, Industrials
PEG, Utilities
PEGA, Information Technology
PEN, Health Care
PENN, Consumer Discretionary
PEP, Consumer Staples
PFE, Health Care
PFG, Financials
PFGC, Consumer Staples
PG, Consumer Staples
PGR, Financials
PH, Industrials
PHM, Consumer Discretionary
PII, Consumer Discretionary
PINC, Health Care
PINS, Communication
PK, Real Estate
PKG, Materials
PLD, Real Estate
PLNT, Consumer Discretionary
PLTK, Communication
PLTR, Information Technology
PM, Consumer Staples
PNC, Financials
PNFP, Financials
PNR, Industrials
PNW, Utilities
PODD, Health Care
POOL, Consumer Discretionary
POST, Consumer Staples
PPC, Consumer Staples
PPG, Materials
PPL, Utilities
PR, Energy
PRGO, Health Care
PRI, Financials
PRU, Financials
PSA, Real Estate
PSN, Industrials
PSTG, Information Technology
PSX, Energy
PTC, Information Technology
PVH, Consumer Discretionary
PWR, Industrials
PYPL, Financials
QCOM, Information Technology
QDEL, Health Care
QGEN, Health Care
QRVO, Information Technology
QS, Consumer Discretionary
R, Industrials
RARE, Health Care
RBA, Industrials
RBC, Industrials
RBLX, Communication
RCL, Consumer Discretionary
REG, Real Estate
REGN, Health Care
REXR, Real Estate
REYN, Consumer Staples
RF, Financials
RGA, Financials
RGEN, Health Care
RGLD, Materials
RH, Consumer Discretionary
RHI, Industrials
RITM, Financials
RIVN, Consumer Discretionary
RJF, Financials
RKT, Financials
RL, Consumer Discretionary
RLI, Financials
RMD, Health Care
RNG, Information Technology
RNR, Financials
ROIV, Health Care
ROK, Industrials
ROKU, Communication
ROL, Industrials
ROP, Information Technology
ROST, Consumer Discretionary
RPM, Materials
RPRX, Health Care
RRC, Energy
RRX, Industrials
RS, Materials
RSG, Industrials
RTX, Industrials
RVTY, Health Care
RYAN, Financials
RYN, Real Estate
S, Information Technology
SAIA, Industrials
SAIC, Industrials
SAM, Consumer Staples
SARO, Industrials
SBAC, Real Estate
SBUX, Consumer Discretionary
SCCO, Materials
SCHW, Financials
SCI, Consumer Discretionary
SEB, Consumer Staples
SEE, Materials
SEG, Real Estate
SEIC, Financials
SF, Financials
SFD, Consumer Staples
SGI, Consumer Discretionary
SHC, Health Care
SHW, Materials
SIRI, Communication
SITE, Industrials
SJM, Consumer Staples
SKX, Consumer Discretionary
SLB, Energy
SLGN, Materials
SLM, Financials
SMCI, Information Technology
SMG, Materials
SN, Consumer Discretionary
SNA, Industrials
SNDK, Information Technology
SNDR, Industrials
SNOW, Information Technology
SNPS, Information Technology
SNV, Financials
SNX, Information Technology
SO, Utilities
SOFI, Financials
SOLV, Health Care
SON, Materials
SPB, Consumer Staples
SPG, Real Estate
SPGI, Financials
SPOT, Communication
SPR, Industrials
SRE, Utilities
SRPT, Health Care
SSD, Industrials
SSNC, Industrials
ST, Industrials
STAG, Real Estate
STE, Health Care
STLD, Materials
STT, Financials
STWD, Financials
STZ, Consumer Staples
SUI, Real Estate
SW, Materials
SWK, Industrials
SWKS, Information Technology
SYF, Financials
SYK, Health Care
SYY, Consumer Staples
T, Communication
TAP, Consumer Staples
TDC, Information Technology
TDG, Industrials
TDY, Information Technology
TEAM, Information Technology
TECH, Health Care
TER, Information Technology
TFC, Financials
TFSL, Financials
TFX, Health Care
TGT, Consumer Staples
THC, Health Care
THG, Financials
THO, Consumer Discretionary
TJX, Consumer Discretionary
TKO, Communication
TKR, Industrials
TMO, Health Care
TMUS, Communication
TNL, Consumer Discretionary
TOL, Consumer Discretionary
TOST, Financials
TPG, Financials
TPL, Energy
TPR, Consumer Discretionary
TREX, Industrials
TRGP, Energy
TRIP, Other
TRMB, Information Technology
TROW, Financials
TRU, Industrials
TRV, Financials
TSCO, Consumer Discretionary
TSLA, Consumer Discretionary
TSN, Consumer Staples
TT, Industrials
TTC, Industrials
TTD, Communication
TTEK, Industrials
TTWO, Communication
TW, Financials
TWLO, Information Technology
TXG, Health Care
TXN, Information Technology
TXRH, Consumer Discretionary
TXT, Industrials
TYL, Information Technology
U, Information Technology
UA, Consumer Discretionary
UAA, Consumer Discretionary
UAL, Industrials
UBER, Industrials
UDR, Real Estate
UGI, Utilities
UHAL, Industrials
UHALB, Industrials
UHS, Health Care
UI, Information Technology
ULTA, Consumer Discretionary
UNH, Health Care
UNM, Financials
UNP, Industrials
UPS, Industrials
URI, Industrials
USB, Financials
USFD, Consumer Staples
UTHR, Health Care
UWMC, Financials
V, Financials
VAC, Consumer Discretionary
VEEV, Health Care
VFC, Consumer Discretionary
VICI, Real Estate
VIRT, Financials
VKTX, Health Care
VLO, Energy
VLTO, Industrials
VMC, Materials
VMI, Industrials
VNO, Real Estate
VNOM, Energy
VNT, Information Technology
VOYA, Financials
VRSK, Industrials
VRSN, Information Technology
VRT, Industrials
VRTX, Health Care
VST, Utilities
VSTS, Industrials
VTR, Real Estate
VTRS, Health Care
VVV, Consumer Discretionary
VZ, Communication
W, Consumer Discretionary
WAB, Industrials
WAL, Financials
WAT, Health Care
WBA, Consumer Staples
WBD, Communication
WBS, Financials
WCC, Industrials
WDAY, Information Technology
WDC, Information Technology
WEC, Utilities
WELL, Real Estate
WEN, Consumer Discretionary
WEX, Financials
WFC, Financials
WFRD, Energy
WH, Consumer Discretionary
WHR, Consumer Discretionary
WING, Consumer Discretionary
WLK, Materials
WM, Industrials
WMB, Energy
WMS, Industrials
WMT, Consumer Staples
WOLF, Information Technology
WPC, Real Estate
WRB, Financials
WSC, Industrials
WSM, Consumer Discretionary
WSO, Industrials
WST, Health Care
WTFC, Financials
WTM, Financials
WTRG, Utilities
WTW, Financials
WU, Financials
WWD, Industrials
WY, Real Estate
WYNN, Consumer Discretionary
XEL, Utilities
XOM, Energy
XP, Financials
XPO, Industrials
XRAY, Health Care
XYL, Industrials
XYZ, Financials
YETI, Consumer Discretionary
YUM, Consumer Discretionary
Z, Real Estate
ZBH, Health Care
ZBRA, Information Technology
ZG, Real Estate
ZION, Financials
ZM, Information Technology
ZS, Information Technology
ZTS, Health Care